va,vb,exp,sim,sign_error,exp_error,man_error
b1e2,62b0,d8eb,d8ea,False,0,1
f5c4,9314,4d1a,4d19,False,0,1
8bf1,b31d,0388,0000,False,0,904
3435,0587,0174,0000,False,0,372
a676,6d97,d884,d883,False,0,1
94aa,8680,0002,0000,False,0,2
af36,9e1e,1184,1183,False,0,1
aaea,a6af,15c7,15c6,False,0,1
1bfa,b6db,96d6,96d5,False,0,1
32d3,512a,4868,4867,False,0,1
9ddc,833a,0005,0000,False,0,5
20c2,d985,be91,be90,False,0,1
51d8,9269,a8af,a8ae,False,0,1
cf75,b7e8,4b5f,4b5e,False,0,1
3d7f,3eb2,409a,4099,False,0,1
bf93,7b02,fc00,fea2,False,0,-674
2178,2f79,151c,151b,False,0,1
b59f,a54a,1f6f,1f6e,False,0,1
c90e,959c,2317,2316,False,0,1
b280,006d,8016,8000,False,0,22
927b,0a2c,8002,8000,False,0,2
c712,ef80,7aa1,7aa0,False,0,1
f24c,1029,c68d,c68c,False,0,1
313b,620e,57eb,57ea,False,0,1
0673,c65f,9123,9122,False,0,1
0063,24fc,0002,0000,False,0,2
5f1a,10ac,3426,3425,False,0,1
b780,da45,55e1,55e0,False,0,1
9131,0b50,8002,8000,False,0,2
48a4,0f32,1c2d,1c2c,False,0,1
a930,906c,016f,0000,False,0,367
deed,1677,b999,b998,False,0,1
82e4,1d9e,8004,8000,False,0,4
1692,6430,3ee1,3ee0,False,0,1
eedd,90d2,4423,4422,False,0,1
f7f7,0068,b279,bc63,False,-3,534
d0f9,0f75,a4a3,a4a2,False,0,1
9b90,b12b,10e3,10e2,False,0,1
beb2,ed40,7065,7064,False,0,1
a14f,98cc,0197,0000,False,0,407
d3b6,ab64,4320,431f,False,0,1
efe3,3b38,ef1e,ef1d,False,0,1
6af3,0537,3488,3487,False,0,1
bef3,0150,8248,849d,False,-1,427
f085,271b,dc04,dc03,False,0,1
1fe8,576b,3b55,3b54,False,0,1
ce6e,0027,83eb,92ac,False,-4,319
f7e3,28fc,e4ea,e4e9,False,0,1
9897,c0df,1d97,1d96,False,0,1
1220,29a4,0229,0000,False,0,553
8654,e742,31be,31bd,False,0,1
0d51,a9e9,80fb,8000,False,0,251
ad81,f4bc,6684,6683,False,0,1
3299,1aa6,117c,117b,False,0,1
c5d6,747c,fc00,fe8a,False,0,-650
7947,8b4b,c8d0,c8cf,False,0,1
0acf,37aa,0686,0685,False,0,1
afeb,b057,244c,244b,False,0,1
2c67,6b37,5bf1,5bf0,False,0,1
a00e,9dd0,02f2,01e4,False,0,270
5d37,1b2f,3caf,3cae,False,0,1
9752,56d0,b23c,b23b,False,0,1
9a5b,1b50,80ba,8000,False,0,186
aa3e,6892,d722,d721,False,0,1
2f5a,341f,2793,2792,False,0,1
3662,3a00,34ca,34c9,False,0,1
197d,1d30,00e4,0000,False,0,228
8b91,44c6,9484,9483,False,0,1
d90a,5296,f026,f025,False,0,1
e3fb,86a3,2e9f,2e9e,False,0,1
9952,028b,8002,8000,False,0,2
8c11,6b3f,bb5e,bb5d,False,0,1
31a6,ce2c,c45c,c45b,False,0,1
2f66,348a,2833,2832,False,0,1
1bfe,e434,c433,c432,False,0,1
ddd1,0275,a325,a4b1,False,-1,628
4f7f,6ed4,7c00,0265,False,31,-613
b829,827c,014b,0000,False,0,331
4716,bac5,c5ff,c5fe,False,0,1
8415,971a,0002,0000,False,0,2
89b8,ad20,00ea,0000,False,0,234
e52a,8a92,343e,343d,False,0,1
c34a,a060,27f9,27f8,False,0,1
4878,0201,0c7a,0eb5,False,0,-571
e501,d277,7c00,7c0b,False,0,-11
86fc,e57d,30cb,30ca,False,0,1
4556,2e2f,3820,381f,False,0,1
65fb,230f,4d47,4d46,False,0,1
1c86,2649,071c,071b,False,0,1
35eb,46ae,40f1,40f0,False,0,1
2a5b,43f3,3251,3250,False,0,1
15bc,21dc,010d,0000,False,0,269
2f06,156a,08c1,08c0,False,0,1
46dc,0287,0c56,0d98,False,0,-322
ce28,df80,71c6,71c5,False,0,1
4b63,890d,98aa,98a9,False,0,1
